asset_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,asset_name,asset_type,Longitude,Latitude
1835964314,IDN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,221.7776051,0.01732498317,,292581.109,landfill_area_sq_meters,,12801.0286,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Jalan Mayang, Rw 07, Kelapa Dua, Kebon Jeruk, West Jakarta, Jakarta Special Capital Region, 11550., Indonesia",Dumpsites,106.76411665512208,-6.215179723947679
1835964180,ALB,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,249.8333303,0.0153710093,,289710.8866,landfill_area_sq_meters,,16253.54103,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Rruga Ëngjëll Mashi, Astir, Lagjja E Re (Mëzez), Kashar, Tirana Municipality, Tirana County, Central Albania, 1051, Albania",Dumpsites,19.774836970534814,41.328245541833084
1835964321,CHN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,219.8675993,0.01732498317,,290061.3253,landfill_area_sq_meters,,12690.78286,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Jimei District, Xiamen, Fujian, 361021, China, Site 2",Dumpsites,118.04379415842422,24.639272123442876
1835964461,IND,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,186.6491317,0.01589555316,,226594.4583,landfill_area_sq_meters,,11742.22311,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Chunchura, Chinsurah - Magra, Hugli, West Bengal, 712102, India",Dumpsites,88.37765485620831,22.89320687138882
1835964327,CHN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,216.5947637,0.01732498317,,285743.6221,landfill_area_sq_meters,,12501.87441,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Chashan, Dongguan, Guangdong Province, 523000, China, Site 2",Dumpsites,113.84411178111858,23.047981409807953
1835964465,IDN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,185.4298868,0.01732498317,,244629.2172,landfill_area_sq_meters,,10703.03417,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Jimbaran, Kuta Selatan, Bali, 0361, Indonesia",Dumpsites,115.16585708522096,-8.795212561089434
1835964468,CHN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,184.7396571,0.01732498317,,243718.6286,landfill_area_sq_meters,,10663.19403,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Jiaojiang District, Taizhou, Zhejiang, 318000, China",Dumpsites,121.38405267210342,28.63606484409367
1835964471,MMR,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,184.1890156,0.01732498317,,242992.1922,landfill_area_sq_meters,,10631.41094,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Magway Township, Magway District, Magway, +9563, Myanmar",Dumpsites,94.99547827153648,20.15789190072396
1835964338,IDN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,214.4609499,0.01732498317,,282928.5785,landfill_area_sq_meters,,12378.71043,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Pasir Jaya, Tangerang Regency, Banten, 15135, Indonesia",Dumpsites,106.53489993887206,-6.198332241967882
1835964340,IND,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,213.4154662,0.01589555316,,259089.1344,landfill_area_sq_meters,,13426.11132,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Manesar, Gurgaon, Gurugram, Haryana, 122051, India",Dumpsites,76.92944922883068,28.384552202263418
